epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1662.21,0.72557,0.63345,1.14868,0.85241,0.77175,0.86,0.61705,1.02631,0.72952,1.40011,0.000478762,0.000478762,0.000478762
74,1684.43,0.73172,0.62821,1.15036,0.84164,0.78683,0.84769,0.5849,1.06442,0.77675,1.47077,0.000462259,0.000462259,0.000462259
75,1706.15,0.73804,0.62338,1.16075,0.85185,0.78664,0.86393,0.59422,1.0692,0.75855,1.45109,0.000445756,0.000445756,0.000445756
76,1728.92,0.71418,0.5992,1.13654,0.87514,0.7644,0.86727,0.60606,1.07385,0.75818,1.42817,0.000429253,0.000429253,0.000429253
77,1751.24,0.72047,0.61816,1.15049,0.85543,0.82823,0.86775,0.61167,1.06148,0.7404,1.44037,0.000412749,0.000412749,0.000412749
78,1773.42,0.7032,0.61107,1.13087,0.8291,0.83512,0.85542,0.60602,1.03626,0.77522,1.40777,0.000396246,0.000396246,0.000396246
79,1795.39,0.69419,0.58817,1.12899,0.89274,0.81248,0.87905,0.61799,1.02893,0.69753,1.44149,0.000379743,0.000379743,0.000379743
80,1817.37,0.69136,0.6052,1.12296,0.83448,0.84979,0.88661,0.6129,1.04324,0.72701,1.42081,0.000363239,0.000363239,0.000363239
81,1839.14,0.69465,0.58558,1.11811,0.87158,0.81069,0.88584,0.61856,1.03109,0.71852,1.41512,0.000346736,0.000346736,0.000346736
82,1861.24,0.69756,0.58982,1.13543,0.87342,0.79493,0.86711,0.60267,1.05033,0.7576,1.42181,0.000330233,0.000330233,0.000330233
83,1883.38,0.67673,0.57158,1.10536,0.87419,0.789,0.87549,0.62155,1.04148,0.71461,1.43644,0.000313729,0.000313729,0.000313729
84,1906.08,0.68164,0.58783,1.12474,0.83259,0.81452,0.8697,0.62619,0.98665,0.70603,1.36667,0.000297226,0.000297226,0.000297226
85,1928.53,0.67411,0.57049,1.12177,0.83251,0.80314,0.85744,0.61272,1.01576,0.76122,1.41557,0.000280723,0.000280723,0.000280723
86,1950.65,0.65417,0.55103,1.09976,0.84122,0.84001,0.89037,0.62831,1.03232,0.71351,1.41941,0.00026422,0.00026422,0.00026422
87,1973.23,0.6669,0.56299,1.11108,0.85638,0.81735,0.87224,0.61499,1.0635,0.73757,1.44508,0.000247716,0.000247716,0.000247716
88,1995.36,0.63417,0.53345,1.10402,0.83208,0.83033,0.87483,0.62457,1.03441,0.73465,1.44337,0.000231213,0.000231213,0.000231213
